ID,DATE_TIME_LOG,MESSAGE,UNIT_NAME,ROUTINE_NAME,KEY_TAG,STATE
64524,06/05/2026 13:08:42,INIZIO sp_LotEndOnPlc machine=[c05dcd762e4b4b5a99224c48445d7683] user=[NULL],DB DEBUG,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,3
64525,06/05/2026 13:08:51,"Query execution was interrupted (max_statement_time exceeded) code:70100; (c05dcd762e4b4b5a99224c48445d7683,ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ)",DB,sp_LotMachineCloseOther,c05dcd762e4b4b5a99224c48445d7683,2
64526,06/05/2026 13:09:21,"Query execution was interrupted (max_statement_time exceeded) code:70100; (c05dcd762e4b4b5a99224c48445d7683,NULL)",DB,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,2
64527,06/05/2026 13:10:06,INIZIO sp_LotEndOnPlc machine=[c05dcd762e4b4b5a99224c48445d7683] user=[NULL],DB DEBUG,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,3
64528,06/05/2026 13:10:06,INIZIO sp_LotMachineCloseOther machine=[c05dcd762e4b4b5a99224c48445d7683] not_to_close=[ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ],DB DEBUG,sp_LotMachineCloseOther,c05dcd762e4b4b5a99224c48445d7683,3
64529,06/05/2026 13:10:06,CHIUDO LOT_MACHINE(lot:f2f622c94fb7407d997fd9bd9493371e;machine:c05dcd762e4b4b5a99224c48445d7683),DB DEBUG,sp_LotMachineCloseOther,c05dcd762e4b4b5a99224c48445d7683,3
64530,06/05/2026 13:10:06,FINE sp_LotMachineCloseOther machine=[c05dcd762e4b4b5a99224c48445d7683] lot_chiusi=[1],DB DEBUG,sp_LotMachineCloseOther,c05dcd762e4b4b5a99224c48445d7683,3
64531,06/05/2026 13:10:06,Azzerato lotto attivo e chiusi lot_machine - line=[fc0ef60c8da844d5a531b293ac0b857b],DB DEBUG,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,3
64532,06/05/2026 13:10:06,Elaboro lotti in coda per linea=fc0ef60c8da844d5a531b293ac0b857b,DB DEBUG,fe_LineSetNextLot,fc0ef60c8da844d5a531b293ac0b857b,3
64533,06/05/2026 13:10:06,FINE sp_LotEndOnPlc machine=[c05dcd762e4b4b5a99224c48445d7683],DB DEBUG,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,3
