ID,DATE_TIME_LOG,MESSAGE,UNIT_NAME,ROUTINE_NAME,KEY_TAG,STATE
63092,06/05/2026 06:30:03,Azzera lotto attivo in macchina - ACTIVE_LOT_ID = NULL,DB DEBUG,sp_LotEndOnPlc,c05dcd762e4b4b5a99224c48445d7683,3
63093,06/05/2026 06:30:03,CHIUDO LOT_MACHINE(lot:de41e216cd42472090581b94636cd2f3;machine:c05dcd762e4b4b5a99224c48445d7683) stsLot:4; stsStart:20,DB DEBUG,sp_LotMachineCloseOther,c05dcd762e4b4b5a99224c48445d7683,3
63094,06/05/2026 06:30:03,Elaboro lotti in coda per linea=fc0ef60c8da844d5a531b293ac0b857b,DB DEBUG,fe_LineSetNextLot,fc0ef60c8da844d5a531b293ac0b857b,3
63095,06/05/2026 06:30:18,Lotto [59978078}] ricetta [11151061-59978078] ver [1] wasLotPresent=1 wasRecipePresent=1 insertedRows=0 updatedRows=0,NODE-RED,CheckCreateLotDone,c05dcd762e4b4b5a99224c48445d7683,0
63096,06/05/2026 06:30:39,Lotto [59962315}] ricetta [111.25.019.0C-59962315] ver [1] wasLotPresent=1 wasRecipePresent=1 insertedRows=0 updatedRows=0,NODE-RED,CheckCreateLotDone,c05dcd762e4b4b5a99224c48445d7683,0
63097,06/05/2026 06:32:42,Lotto [59962315}] ricetta [111.25.019.0C-59962315] ver [1] wasLotPresent=1 wasRecipePresent=1 insertedRows=0 updatedRows=0,NODE-RED,CheckCreateLotDone,c05dcd762e4b4b5a99224c48445d7683,0
63098,06/05/2026 07:01:35,Lotto [59962315}] ricetta [111.25.019.0C-59962315] ver [1] wasLotPresent=1 wasRecipePresent=1 insertedRows=0 updatedRows=0,NODE-RED,CheckCreateLotDone,c05dcd762e4b4b5a99224c48445d7683,0
63099,06/05/2026 07:03:57,Cambiato Lotto/ricetta in coda - LotNew=[c947f7df0bb749c088a9609ce279a612] era [NULL]; RecipeNew=[c766a3d8e72549919ab4749ec18876ef].[NULL era [1].[(NULL),DB DEBUG,fid_MachineFindSetNextLot,c05dcd762e4b4b5a99224c48445d7683,3
63100,06/05/2026 07:03:57,CREO TASK 440 per cambio TARGET su LOTTO: [c947f7df0bb749c088a9609ce279a612] old target: [10] nuovo: [NULL],DB DEBUG,LOT_before_upd_tr1,c947f7df0bb749c088a9609ce279a612,3
63187,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_15_Qta].value_tag=[20] era [0] tagID=[968856ca602e46fea96e5ad25133b385],DB DEBUG,fid_MachineNextLotStart,null,3
63186,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_15_PartNumber].value_text=[5713.54.2579] era [] tagID=[0f861d9887f547c4a700d24785651f0c],DB DEBUG,fid_MachineNextLotStart,null,3
63185,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_15_Description].value_text=[TCCE M10x30 UNI5931-12K- br.] era [] tagID=[980dc20e83254cfa8b43b2e84a4dc2f3],DB DEBUG,fid_MachineNextLotStart,null,3
63184,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_15_Cell].value_tag=[12] era [0] tagID=[43ca04a60779487a9bad4b18e6857c08],DB DEBUG,fid_MachineNextLotStart,null,3
63183,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_14_Qta].value_tag=[20] era [0] tagID=[1e1a67aab00c40568e55d6a9cb7e929c],DB DEBUG,fid_MachineNextLotStart,null,3
63182,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_14_PartNumber].value_text=[5020.02.0009] era [] tagID=[adc6dee299e94b74a6c5d5d7fc477174],DB DEBUG,fid_MachineNextLotStart,null,3
63181,06/05/2026 07:04:27,"set TAG = [GI4_RECIPE_Data_OP30_PTL_14_Description].value_text=[RONDELLA DI RAME 10,5x16x1 S7] era [] tagID=[4812e17c8ac14e9a9c0ef1b4b4696b0b]",DB DEBUG,fid_MachineNextLotStart,null,3
63180,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_14_Cell].value_tag=[24] era [0] tagID=[0cf9f78a5123498ab6e2b33cc7e7cdb5],DB DEBUG,fid_MachineNextLotStart,null,3
63179,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_13_Qta].value_tag=[20] era [0] tagID=[374dd1ca558346c198cd868b38086280],DB DEBUG,fid_MachineNextLotStart,null,3
63178,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_13_PartNumber].value_text=[5011.31.2215] era [] tagID=[4419482991d445749bca6c4b6b6b4edc],DB DEBUG,fid_MachineNextLotStart,null,3
63177,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_13_Description].value_text=[SPINA COLL. D.8x15 sim. UNI E] era [] tagID=[fc7c0d2bb0404817a3b5522808550b35],DB DEBUG,fid_MachineNextLotStart,null,3
63176,06/05/2026 07:04:27,set TAG = [GI4_RECIPE_Data_OP30_PTL_13_Cell].value_tag=[30] era [0] tagID=[322607fdab0d48e482f702551a084233],DB DEBUG,fid_MachineNextLotStart,null,3
