gi4_nodered_1881
date,stream,content
2026/05/05 06:44:37,stdout,Test connessione GitHub...

2026/05/05 06:44:37,stdout,✓ Chiave pubblica trovata e permessi impostati

2026/05/05 06:44:37,stdout,✓ Chiave privata trovata e permessi impostati

2026/05/05 06:44:37,stdout,Inizializzazione configurazione SSH...

2026/05/05 06:44:37,stdout,Eseguendo inizializzazione SSH...

2026/05/05 06:44:37,stdout,=== Custom entrypoint avviato ===

2026/05/05 06:43:29,stdout,5 May 06:43:29 - [info] Stopped flows

2026/05/05 06:43:29,stdout,5 May 06:43:29 - [info] Stopping flows

2026/05/05 06:43:28,stdout,5 May 06:43:28 - [error] [function:ms_OEEtasks] dbError - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/05 06:43:28,stdout,5 May 06:43:28 - [error] [function:ms_OEEtasks] dbErrorInit - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/05 06:43:28,stderr,"TBaseMacchinaStatiDB: QueryRetry raggiunto queryW.retryMax: {\"uuid\":null,\"query\":\"SELECT te.ID, te.MACHINE_ID, te.LOT_ID, te.TASK_TYPE, te.PARAMS FROM TASK_EXECUTE te WHERE te.TASK_STATE = 10 AND te.TASK_TYPE = 440 ORDER BY te.ID LIMIT 1\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: connect ECONNREFUSED 172.19.0.9:3306\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/05 06:43:28,stderr,"TBaseMacchinaStatiDB: QueryError0: {\"uuid\":null,\"query\":\"SELECT te.ID, te.MACHINE_ID, te.LOT_ID, te.TASK_TYPE, te.PARAMS FROM TASK_EXECUTE te WHERE te.TASK_STATE = 10 AND te.TASK_TYPE = 440 ORDER BY te.ID LIMIT 1\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: connect ECONNREFUSED 172.19.0.9:3306\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/05 06:43:28,stdout,5 May 06:43:28 - [error] [function:ms_OEEtasks] QueryError - Error: connect ECONNREFUSED 172.19.0.9:3306

2026/05/05 06:43:28,stdout,}

2026/05/05 06:43:28,stdout,  }

2026/05/05 06:43:28,stdout,      '    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1611:16)'

2026/05/05 06:43:28,stdout,    stack: 'Error: connect ECONNREFUSED 172.19.0.9:3306\n' +

2026/05/05 06:43:28,stdout,"    code: 'ECONNREFUSED',
"
2026/05/05 06:43:28,stdout,"    },
"
2026/05/05 06:43:28,stdout,      count: 1

2026/05/05 06:43:28,stdout,"      name: 'DBmain:QueriesExec',
"
2026/05/05 06:43:28,stdout,"      type: 'mysql',
"
2026/05/05 06:43:28,stdout,"      id: '4c3b740d5ae93b7e',
"
2026/05/05 06:43:28,stdout,    source: {

2026/05/05 06:43:28,stdout,"    message: 'Error: connect ECONNREFUSED 172.19.0.9:3306',
"
2026/05/05 06:43:28,stdout,  error: {

2026/05/05 06:43:28,stdout,"  _msgid: 'dce59086be16e3f6',
"
2026/05/05 06:43:28,stdout,"  queryUrl: 'ms_OEEtasks.queryW',
"
2026/05/05 06:43:28,stdout,"  topic: 'SELECT te.ID, te.MACHINE_ID, te.LOT_ID, te.TASK_TYPE, te.PARAMS FROM TASK_EXECUTE te WHERE te.TASK_STATE = 10 AND te.TASK_TYPE = 440 ORDER BY te.ID LIMIT 1',
