gi4_nodered_1880
date,stream,content
2026/05/05 07:50:19,stdout,5 May 07:50:19 - [warn] [function:msGI4RecipeLot] JOB_CODE imprevisto=[72] old=[0]

2026/05/05 06:45:10,stdout,5 May 06:45:10 - [warn] [function:infoOPC.OpcCntRead -> msg.readPLCtags_loopN+1] infoIOT.plcFirtsRead=true infoOPC.OpcCntToPlc=0 infoOPC.OpcCntRead=1

2026/05/05 06:45:10,stdout,5 May 06:45:10 - [warn] [function:msSUBSCRIBE] infoOPC.OpcCntRead=1 infoOPC.OpcUaConn=true

2026/05/05 06:45:00,stdout, ...                                                  please fix your application code

2026/05/05 06:45:00,stdout,04:45:00.809Z :client_session_impl           :1585  [NODE-OPCUA-W22] Warning : your opcua client is sending multiple requests simultaneously to the server CreateMonitoredItemsRequest 

2026/05/05 06:45:00,stdout,04:45:00.808Z :client_session_impl           :1580  [NODE-OPCUA-W21] Pending transactions:  CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest CreateMonitoredItemsRequest

2026/05/05 06:44:55,stdout, ...                                                

2026/05/05 06:44:55,stdout, ...                                                -----END CERTIFICATE-----

2026/05/05 06:44:55,stdout, ...                                                Hk5HKfm5U378QvafGAaYissr/dpQkF3rhkle

2026/05/05 06:44:55,stdout, ...                                                h2S3hGOviYdxd9No4yBVPXkKPwmXqq21kqT+jpSo0/6F6S10RN3GK3W6vB+HHrP/

2026/05/05 06:44:55,stdout, ...                                                v21fbMX2UqQqoZHi7fPmMf0WY4zQkrMHUEblEClj27S3VC6SwHUStC+8/wGI/Ad3

2026/05/05 06:44:55,stdout, ...                                                XbagpUz0ecp6nFj8b/GXqeUHHcZ72KV+62Qg62dzIzMMkvRrgpATTE0XxsA2BUCU

2026/05/05 06:44:55,stdout, ...                                                CA/ODD4fOMpWRctaf0QFGvPXmReGuJrgY9E02MdLgfKyD3pFYazb/i6o+GTeSQDI

2026/05/05 06:44:55,stdout, ...                                                DQEBCwUAA4IBAQBqidl/Iu+Cx7B3r8gvZNSWlXzRoUbVxOXFiN3GxhCh2HZ4BYfR

2026/05/05 06:44:55,stdout, ...                                                gBSEq/8WeQTl1ghzQfYi8ER1dvSMtDAPBgNVHRMBAf8EBTADAQH/MA0GCSqGSIb3

2026/05/05 06:44:55,stdout, ...                                                AAGjUzBRMB0GA1UdDgQWBBSEq/8WeQTl1ghzQfYi8ER1dvSMtDAfBgNVHSMEGDAW

2026/05/05 06:44:55,stdout, ...                                                48cD29JGr2ACBerxbU8HcWF+SiwFLgjEQWY0YyfOuUhQidmvFbreiBzoEXenAgMB

2026/05/05 06:44:55,stdout, ...                                                8j8wjRxfc/l3JWAWCjqrDAL9tHbyRNFNawInIKcUQDtmmo4/x+B2C2VBCF1+a0nW

2026/05/05 06:44:55,stdout, ...                                                Lvz7dh74kL+3SNBbzjLWsLT+RYj2Klk+Xd2SVvOqxh/z5WfH6fAWEJF6eH9/UPSS

2026/05/05 06:44:55,stdout, ...                                                9xWaGGWuKPqVfvqDfUB+pLZqzPzELf9WlMmZw2d+eDkxdKlafYS3dAenmtEWXekz

2026/05/05 06:44:55,stdout, ...                                                0Sk+Nw3YDvI7K9UCvfKwqHAgCFXwh36u9dgLK5N47yGM8aL/mTRKp54FQW2lDDM6

2026/05/05 06:44:55,stdout, ...                                                MA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDm/Q2jOJvvKi5uyV0sQINML11o

2026/05/05 06:44:55,stdout, ...                                                czERMA8GA1UECgwIU3RlcmZpdmUxFjAUBgNVBAMMDU5vZGVPUENVQUBnaTQwggEi

2026/05/05 06:44:55,stdout, ...                                                DzIwNjUxMDIxMTY0MzI5WjBKMQswCQYDVQQGEwJGUjEQMA4GA1UEBwwHT3JsZWFu

2026/05/05 06:44:55,stdout, ...                                                ZXJmaXZlMRYwFAYDVQQDDA1Ob2RlT1BDVUFAZ2k0MCAXDTI1MTAzMTE2NDMyOVoY

2026/05/05 06:44:55,stdout, ...                                                BQAwSjELMAkGA1UEBhMCRlIxEDAOBgNVBAcMB09ybGVhbnMxETAPBgNVBAoMCFN0

2026/05/05 06:44:55,stdout, ...                                                MIIDdzCCAl+gAwIBAgIUGKdRpWnaE23XovQNkqw+INvEiH0wDQYJKoZIhvcNAQEL

2026/05/05 06:44:55,stdout,04:44:55.874Z :opcua_client_impl             :1097  -----BEGIN CERTIFICATE-----

2026/05/05 06:44:55,stdout,"04:44:55.872Z :opcua_client_impl             :1096  Certificate has no extensions.subjectAltName.uniformResourceIdentifier, 
"
2026/05/05 06:44:55,stdout, ...                                                

2026/05/05 06:44:55,stdout, ...                                                certificateFile = /usr/src/node-red/.config/node-opcua-default-nodejs/PKI/own/certs/client_certificate.pem

2026/05/05 06:44:55,stdout, ...                                                applicationUri  = urn:6a7b79ac3b7b:NodeOPCUA-Client

2026/05/05 06:44:55,stdout, ...                                                Please regenerate a specific certificate with a uniformResourceIdentifier that matches your client applicationUri

2026/05/05 06:44:55,stdout,04:44:55.770Z :verify                        :60    [NODE-OPCUA-W14] The certificate subjectAltName uniformResourceIdentifier is missing.

